Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
69099000,"Ceramic troughs, tubes etc used in agriculture, ceramic pots etc",2621965,Kilogram,0,?,"8,954,051"
69101000,"Ceramic sinks,wash basins & sim sanitary fixturs of porcelain/china",1674337508,Kilogram,92753352,Number of item,"8,713,206,839"
69109000,"Ceramic sinks, wash basins etc & similar sanitary fixtures nes",16513282,Kilogram,1114956,Number of item,"41,836,614"
69111011,Tableware of bone china,29712513,Kilogram,0,?,"137,292,702"
69111019,Other tableware of china,1565332394,Kilogram,0,?,"5,170,050,355"
69111021,Knives and the like of china for kitchen use,1341921,Kilogram,0,?,"27,261,050"
69111029,Other kitchenware of china,23346827,Kilogram,0,?,"130,603,359"
69119000,Household articles nes & toilet articles of porcelain or china,29922696,Kilogram,0,?,"229,883,282"
69120010,Ceramic tableware,105920092,Kilogram,0,?,"267,430,676"
69120090,Ceramic kitchenware and other household or toilet articles nes,70481000,Kilogram,0,?,"237,950,486"
69131000,Statuettes & other ornamental articles of porcelain or china,163285130,Kilogram,0,?,"1,103,909,683"
69139000,Statuettes & other ornamental articles of ceramics nes,125049694,Kilogram,0,?,"498,034,884"
69141000,Articles of porcelain or china nes,99736583,Kilogram,0,?,"914,731,454"
69149000,Articles of ceramics nes,200178705,Kilogram,0,?,"376,618,863"
70010000,Cullet & other waste & scrap of glass; glass in the mass,70633204,Kilogram,0,?,"44,400,711"
70021000,"Balls, glass exc microspheres of No 70.18",9245399,Kilogram,0,?,"5,599,484"
70022010,Preformed glass bars for drawing optical fibre,998209,Kilogram,0,?,"70,646,096"
70022090,Other glass rods,1692467,Kilogram,0,?,"3,283,191"
70023110,"Tubes of fused quartz, of waveguide-level, for optical fibre use",1252630,Kilogram,0,?,"28,786,314"
70023190,"Tubes of fused quartz or other fused silica, nes",1053936,Kilogram,0,?,"7,718,677"
70023200,Tubes of glass linear coef of exp¡Ü5 X 10-6 per Kelvin withn 0C-300C,16569035,Kilogram,0,?,"18,084,294"
70023900,Tubes of glass nes,32093822,Kilogram,0,?,"38,252,727"
70031200,Cast gls sheets non-wired coloured etc havng absorb/reflectng layer,17033422,Kilogram,2446012,Square Metre,"31,414,362"
70031900,Cast glass sheets non-wired nes,158920986,Kilogram,49862117,Square Metre,"872,850,496"
70032000,Cast glass sheets wired,1398256,Kilogram,101161,Square Metre,"1,048,964"
70033000,Cast glass profiles,60599,Kilogram,2785,Square Metre,"350,102"
70042000,"Drawn glass sheets, coloured etc having absorbing/reflecting layer",2994605,Kilogram,633996,Square Metre,"9,132,902"
70049000,Drawn glass in sheets nes,14359124,Kilogram,3869769,Square Metre,"15,920,559"
70051000,"Float gls etc in sheets,non-wired having absorbent/reflecting layer",477650571,Kilogram,40453081,Square Metre,"220,007,591"
70052100,"Float glass etc in sheets, non-wired coloured throughout the mass etc",287725110,Kilogram,26972716,Square Metre,"142,080,684"
70052900,"Float glass etc in sheets, non-wired nes",421230354,Kilogram,38139404,Square Metre,"282,835,665"
70053000,"Float glass etc in sheets, wired",2136020,Kilogram,147849,Square Metre,"4,019,461"
70060000,"Glass of 70.03, 70.04, 70.05 bent, edge-worked etc not framed etc",454837091,Kilogram,0,?,"883,075,590"
70071110,"Toughened safety glass, for aircraft, spacecraft or vessels",328864,Kilogram,0,?,"2,757,414"
70071190,"Toughened safety glass, for vehicles",101575494,Kilogram,0,?,"229,291,393"
70071900,"Other toughened safety glass, nes",2057932097,Kilogram,334338073,Square Metre,"1,985,202,435"
70072110,"laminated safety glass, for aircraft, spacecraft or vessels",47598,Kilogram,0,?,"2,997,334"
70072190,"Laminated safety glass, for vehicles",292160152,Kilogram,0,?,"547,478,445"
70072900,"Other laminated safety glass, nes",229107364,Kilogram,11851636,Square Metre,"207,791,881"
